"id","latitude","longitude","name","docks"
259,37.866249,-122.299371,"Addison St at Fourth St",21
26,37.78729,-122.39438,"1st St at Folsom St",17
263,37.862827,-122.290231,"Channing Way at San Pablo Ave",23
265,37.858868,-122.29121,"Ninth St at Parker St",14
266,37.862464,-122.264791,"Parker St at Fulton St",22
267,37.861804,-122.253569,"Derby St at College Ave",17
268,37.85749,-122.261578,"Ellsworth St at Russell St",15
269,37.86232,-122.258801,"Telegraph Ave at Carleton St",19
27,37.788059,-122.391865,"Beale St at Harrison St",19
270,37.853489,-122.289415,"Ninth St at Heinz Ave",14
271,37.855783,-122.283127,"San Pablo Park",18
273,37.855574,-122.263565,"Fulton St at Ashby Ave",19
274,37.857567,-122.267558,"Oregon St at Adeline St",19
275,37.342997,-121.888889,"Julian St at 6th St",15
276,37.332233,-121.912517,"Julian St at The Alameda",23
277,37.333677,-121.908618,"W Julian St at N Morrison St",19
278,37.331932,-121.904888,"The Alameda at Bush St",22
279,37.339146,-121.884105,"Santa Clara St at 7th St",15
28,37.787168,-122.388098,"The Embarcadero at Bryant St",17
280,37.337122,-121.883215,"San Fernando St at 7th St",20
281,37.338395,-121.880797,"9th St at San Fernando St",19
282,37.332426,-121.890349,"Market St at Park St",19
283,37.330264,-121.897702,"Delmas Ave and San Fernando St",18
284,37.784872,-122.400876,"Yerba Buena Center for the Arts (Howard St at 3rd St)",19
285,37.783521,-122.431158,"Webster St at O'Farrell St",25
286,37.336466,-121.876613,"San Carlos St at 11th St",19
287,37.32673,-121.889273,"Almaden Blvd at Balbach St",19
288,37.350964,-121.902016,"Mission St at 1st St",26
289,37.350902,-121.895843,"5th St at Taylor St",23
29,37.782405,-122.439446,"O'Farrell St at Divisadero St",27
290,37.347593,-121.899662,"George St at 1st St",19
291,37.341335,-121.903183,"Autumn Parkway at Coleman Ave",15
292,37.344882,-121.896966,"Empire St at 1st St",19
294,37.327581,-121.884559,"Pierce Ave at Market St",27
295,37.332794,-121.875926,"William St at 10th St",23
296,37.325998,-121.87712,"5th St at Virginia St",27
297,37.32298,-121.887931,"Locust St at Grant St",19
298,37.322125,-121.88109,"Oak St at 1st St",22
299,37.323678,-121.874119,"Bestor Art Park",15
3,37.786375,-122.404904,"Powell St BART Station (Market St at 4th St)",34
30,37.776598,-122.395282,"San Francisco Caltrain (Townsend St at 4th St)",18
300,37.317298,-121.884995,"Palm St at Willow St",19
301,37.31845,-121.883172,"Willow St at Vine St",15
303,37.352601,-121.905733,"San Pedro St at Hedding St",23
304,37.348759,-121.894798,"Jackson St at 5th St",27
305,37.342725,-121.895617,"Ryland Park",22
306,37.339301,-121.889937,"Saint James Park",15
307,37.332692,-121.900084,"SAP Center",23
308,37.336802,-121.89409,"San Pedro Square",15
309,37.337391,-121.886995,"San Jose City Hall",23
31,37.783813,-122.434559,"Raymond Kimbell Playground",31
310,37.335885,-121.88566,"San Fernando St at 4th St",22
311,37.333798,-121.886943,"Paseo De San Antonio at 2nd St",18
312,37.329732,-121.901782,"San Jose Diridon Station",35
313,37.331415,-121.8932,"Almaden Blvd at San Fernando St",23
314,37.333988,-121.894902,"Santa Clara St at Almaden Blvd",11
315,37.834174,-122.272968,"Market St at 45th St",15
316,37.331168,-121.886938,"1st St at San Carlos St",19
317,37.333955,-121.877349,"San Salvador St at 9th St",18
318,37.330698,-121.888979,"San Carlos St at Market St",15
321,37.780645,-122.402866,"Folsom St at 5th St",30
323,37.798014,-122.40595,"Broadway at Kearny",19
324,37.7883,-122.408531,"Union Square (Powell St at Post St)",24
327,37.332039,-121.881766,"5th St at San Salvador St",18
33,37.78165,-122.415408,"Golden Gate Ave at Hyde St",22
336,37.763281,-122.407377,"Potrero Ave and Mariposa St",24
337,37.80697,-122.266588,"Webster St at 19th St",26
339,37.800002,-122.266438,"Jackson St at 11th St",27
34,37.783988,-122.412408,"Father Alfred E Boeddeker Park",22
340,37.849735,-122.270582,"Harmon St at Adeline St",15
341,37.336188,-121.889277,"Fountain Alley at S 2nd St",11
343,37.783172,-122.393572,"Bryant St at 2nd St",25
345,37.766483,-122.398279,"Hubbell St at 16th St",27
349,37.780304,-122.406609,"Howard St at 6th St",27
35,37.329119,-121.904576,"Cahill Park",23
350,37.771431,-122.405787,"8th St at Brannan St",31
351,37.86906,-122.2934,"10th St at University Ave",19
352,37.726943,-122.4066,"Goettingen St at Bacon St",23
355,37.755367,-122.388795,"23rd St at Tennessee St",30
356,37.769188,-122.422285,"Valencia St at Clinton Park",18
357,37.341132,-121.892844,"2nd St at Julian St",23
358,37.729279,-122.392896,"Williams Ave at 3rd St",18
359,37.730168,-122.398963,"Williams Ave at Apollo St",15
36,37.78383,-122.39887,"Folsom St at 3rd St",31
360,37.738572,-122.389618,"Newhall St at 3rd St",18
361,37.739853,-122.385655,"Mendell St at Fairfax Ave",18
362,37.731727,-122.390056,"Lane St at Revere Ave",19
363,37.787492,-122.398285,"Salesforce Transit Center (Natoma St at 2nd St)",34
364,37.772,-122.38997,"China Basin St at 3rd St",29
365,37.78045,-122.431946,"Turk St at Fillmore St",23
368,37.785434,-122.419622,"Myrtle St at Polk St",26
369,37.787349,-122.416651,"Hyde St at Post St",25
37,37.785377,-122.396906,"Folsom St at 2nd St",39
370,37.787327,-122.413278,"Jones St at Post St",18
371,37.802746,-122.413579,"Lombard St at Columbus Ave",18
372,37.804037,-122.262409,"Madison St at 17th St",19
373,37.751792,-122.405216,"Potrero del Sol Park (25th St at Utah St)",22
375,37.774836,-122.446546,"Grove St at Masonic Ave",30
376,37.760458,-122.38754,"Illinois St at 20th St",23
377,37.771951,-122.453705,"Fell St at Stanyan St",19
378,37.347712,-121.890553,"7th St at Empire St",30
38,37.782926,-122.387921,"The Embarcadero at Pier 38",25
380,37.779047,-122.447291,"Masonic Ave at Turk St",22
381,37.758238,-122.426094,"20th St at Dolores St",27
383,37.780787,-122.421934,"Golden Gate Ave at Franklin St",31
384,37.79416,-122.421568,"Jackson St at Polk St",25
385,37.850578,-122.278175,"Woolsey St at Sacramento St",13
386,37.752105,-122.419724,"24th St at Bartlett St",16
387,37.739813,-122.425523,"Randall St at Chenery St",18
388,37.352887,-121.88605,"Backesto Park (Jackson St at 13th St)",15
389,37.353062,-121.891937,"Taylor St at 9th St",23
39,37.778999,-122.436861,"Scott St at Golden Gate Ave",26
390,37.750434,-122.390447,"Indiana St at Cesar Chavez St",15
391,37.35503,-121.904436,"1st St at Younger Ave",19
392,37.36406,-121.911732,"Sonora Ave at 1st St",15
393,37.338022,-121.919478,"Asbury St at The Alameda",23
394,37.349426,-121.887619,"10th St at Empire St",23
