"bike_id","start_date","month","start_time","end_time","ride_time","time_frame","user_type","start_station_id","station_name"
241,"2017-06-28",6,"12:11:20.014","12:14:55.484",3,"short","Subscriber",28,"The Embarcadero at Bryant St"
593,"2017-06-28",6,"12:11:39.666","12:22:30.206",10,"short","Subscriber",59,"S Van Ness Ave at Market St"
185,"2017-06-28",6,"12:12:06.393","12:19:29.827",7,"short","Subscriber",90,"Townsend St at 7th St"
1037,"2017-06-28",6,"12:13:21.825","12:23:27.797",10,"short","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
934,"2017-06-28",6,"12:15:42.569","12:36:28.061",20,"meduim","Subscriber",90,"Townsend St at 7th St"
734,"2017-06-28",6,"12:16:19.261","12:27:50.434",11,"meduim","Subscriber",23,"The Embarcadero at Steuart St"
892,"2017-06-28",6,"12:16:28.42","12:21:33.694",5,"short","Subscriber",66,"3rd St at Townsend St"
181,"2017-06-28",6,"12:16:53.417","12:24:36.002",7,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
768,"2017-06-28",6,"12:19:51.95","12:27:06.045",7,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
1050,"2017-06-28",6,"12:19:55.259","12:29:19.019",9,"short","Customer",21,"Montgomery St BART Station (Market St at 2nd St)"
120,"2017-06-28",6,"12:20:03.048","13:04:30.729",44,"long","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
843,"2017-06-28",6,"12:20:56.669","12:39:40.379",18,"meduim","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
639,"2017-06-28",6,"12:22:11.926","12:35:15.733",13,"meduim","Subscriber",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)"
108,"2017-06-28",6,"12:22:13.535","12:28:43.77",6,"short","Subscriber",36,"Folsom St at 3rd St"
347,"2017-06-28",6,"12:26:12.468","12:28:07.661",1,"short","Subscriber",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)"
301,"2017-06-28",6,"12:26:14.787","12:39:48.121",13,"meduim","Subscriber",23,"The Embarcadero at Steuart St"
766,"2017-06-28",6,"12:29:27.375","12:53:18.524",23,"meduim","Subscriber",36,"Folsom St at 3rd St"
831,"2017-06-28",6,"12:29:48.697","12:35:05.203",5,"short","Subscriber",26,"1st St at Folsom St"
203,"2017-06-28",6,"12:30:53.238","12:35:53.699",5,"short","Subscriber",41,"Golden Gate Ave at Polk St"
862,"2017-06-28",6,"12:30:58.635","12:50:55.535",19,"meduim","Subscriber",59,"S Van Ness Ave at Market St"
809,"2017-06-28",6,"12:32:03.383","13:00:22.715",28,"meduim","Subscriber",59,"S Van Ness Ave at Market St"
360,"2017-06-28",6,"12:32:03.611","13:00:24.43",28,"meduim","Subscriber",59,"S Van Ness Ave at Market St"
330,"2017-06-28",6,"12:35:35.599","12:36:55.456",1,"short","Subscriber",81,"Berry St at 4th St"
266,"2017-06-28",6,"12:36:44.689","12:46:31.65",9,"short","Subscriber",36,"Folsom St at 3rd St"
601,"2017-06-28",6,"12:37:52.303","13:07:57.706",30,"long","Customer",58,"Market St at 10th St"
855,"2017-06-28",6,"12:37:57.18","13:07:55.425",29,"meduim","Customer",58,"Market St at 10th St"
343,"2017-06-28",6,"12:38:33.662","12:42:37.073",4,"short","Subscriber",28,"The Embarcadero at Bryant St"
382,"2017-06-28",6,"12:51:29.928","13:00:02.251",8,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
133,"2017-06-28",6,"12:53:20.795","13:04:27.804",11,"meduim","Customer",23,"The Embarcadero at Steuart St"
181,"2017-06-28",6,"12:53:21.739","13:04:21.219",10,"short","Customer",23,"The Embarcadero at Steuart St"
210,"2017-06-28",6,"12:53:29.973","13:04:22.408",10,"short","Customer",23,"The Embarcadero at Steuart St"
25,"2017-06-28",6,"12:54:02.188","13:06:56.489",12,"meduim","Subscriber",58,"Market St at 10th St"
761,"2017-06-28",6,"12:54:23.02","13:03:03.633",8,"short","Customer",42,"San Francisco City Hall (Polk St at Grove St)"
737,"2017-06-28",6,"12:54:51.87","13:06:58.818",12,"meduim","Subscriber",58,"Market St at 10th St"
843,"2017-06-28",6,"12:55:04.574","12:59:49.935",4,"short","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
752,"2017-06-28",6,"12:55:12.338","13:02:39.637",7,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
